Date,Total_Pop,Pop_5_24,Percent_5_24,Median_Age,Male_to_Female_Ratio,Pop_5_24_per1000,RUCA1,Income,Race,Total_Mobile_Home,No_English,Below_Poverty_Line,Percent_18_24_no_HS_diploma,Percent_No_HS_Diploma,Percent_Unemployment,NDVI,TMIN,TMAX,EHF,Above_95th,RH,Mental_Health,month,Day,TMAX_24hr_diff,TMIN_24hr_diff,loc,Region,log_Total_Pop_per1000
2016-06-20,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.45125,10.1075,26.7525,0,0,54.51875,78,6,20,0.935,-0.87,1,1,5.27275850387137
2016-06-21,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.06375,12.43875,29.11,0,0,61.85125,72,6,21,2.3575,2.33125,1,1,5.27275850387137
2016-06-22,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.73125,16.77125,30.79125,0,0,65.22875,61,6,22,1.68125,4.3325,1,1,5.27275850387137
2016-06-23,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.51,18.60125,31.36125,0,1,67.66875,61,6,23,0.570000000000001,1.83,1,1,5.27275850387137
2016-06-24,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.54625,19.04625,32.59875,0.99255509027778,1,59.88125,69,6,24,1.2375,0.445000000000001,1,1,5.27275850387137
2016-06-25,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.3025,17.3525,30.35625,1.01141511111112,0,66.68125,78,6,25,-2.2425,-1.69375,1,1,5.27275850387137
2016-06-26,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.72875,18.23875,31.3575,0.757177944444447,1,59.6525,64,6,26,1.00125,0.88625,1,1,5.27275850387137
2016-06-27,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.01125,18.64125,30.61,0,0.5,67.12375,78,6,27,-0.747500000000001,0.402500000000001,1,1,5.27275850387137
2016-06-28,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.53875,19.2075,29.4775,0.0622150138888878,0,73.905,68,6,28,-1.1325,0.566249999999999,1,1,5.27275850387137
2016-06-29,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.38875,14.7275,29.23125,0,0,72.05875,70,6,29,-0.24625,-4.48,1,1,5.27275850387137
